Account,trades,total_pnl,win_rate
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6279,2143382.597689,0.7910495301799649
0x083384f897ee0f19899168e3b1bec365f52a9012,1732,1600229.819979,0.7927251732101617
0xbaaaf6571ab7d571043ff1e313a9609a10637864,9997,940163.80622,0.9911973592077623
0x513b8629fe877bb581bf244e326a047b249c4ff1,5482,840422.555216,0.8954761036118205
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,22551,836080.553077,0.7630703738193428
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2233,677747.050643,0.948499776085983
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,737,429355.565915,0.746268656716418
0x430f09841d65beb3f27765503d0f850b8bce7713,599,416541.872341,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8660,379095.406711,0.9263279445727483
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,558,360539.510029,0.7741935483870968
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2949,308975.869716,0.9267548321464903
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,1177,220519.061853,0.7349192863211554
0x420ab45e0bd8863569a5efbb9c05d91f40624641,90,199505.592732,1.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2060,168658.004994,0.8174757281553398
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,6772,132464.814554,0.8620791494388659
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,892,126578.942134,0.976457399103139
0x6d6a4b953f202f8df5bed40692e7fd865318264a,426,108731.216772,0.9882629107981221
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,5561,106302.875256,0.9703290775040461
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,3663,103343.716161,0.822003822003822
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,255,72846.484272,0.9372549019607843
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,230,67845.619531,1.0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,714,65513.657906,0.8837535014005602
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,158,53496.247243,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,4166,47885.320514,0.7736437830052808
0x8477e447846c758f5a675856001ea72298fd9cb5,6559,43917.008976,0.5990242415002287
0xb899e522b5715391ae1d4f137653e7906c5e2115,2641,22488.500821,0.8034835289663006
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,230,21758.831753,0.7478260869565218
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,746,14900.443047,0.9450402144772118
0x39cef799f8b69da1995852eea189df24eb5cae3c,1767,14456.919335999997,0.66553480475382
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,570,-31203.599986,0.6508771929824562
0x271b280974205ca63b716753467d5a371de622ab,1607,-70436.191318,0.7156191661481021
0x8170715b3b381dffb7062c0298972d4727a0a63b,2341,-167621.124781,0.7522426313541222
